institution.displayName,institution.state,institution.city,institution.zip,institution.institutionalControl,ranking.displayRank,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
University of Indianapolis,IN,Indianapolis,46227,private,#304,76,36136,3.5,3613,960-1180,19-26
University of Iowa,IA,Iowa City,52242,public,#93,86,32927,3.8,21973,1130-1340,22-28
University of Jamestown,ND,Jamestown,58405,private,#112,76,24200,,1097,900-1140,17-24
University of Kansas,KS,Lawrence,66045,public,#151,88,28035,3.7,19241,1090-1340,21-28
University of Kentucky,KY,Lexington,40506,public,#159,95,33406,3.6,22735,1070-1290,21-28
University of La Verne,CA,La Verne,91750,private,#170,75,48300,3.5,2414,970-1303,18-25
University of Louisiana at Lafayette,LA,Lafayette,70504,public,#345,75,24110,3.4,12950,1125-1250,23-27
University of Louisiana at Monroe,LA,Monroe,71209,public,#369,72,21679,,6472,968-1333,20-25
University of Louisville,KY,Louisville,40292,public,#195,80,29174,3.6,15921,1070-1270,19-27
University of Lynchburg,VA,Lynchburg,24501,private,#345,96,35540,,1589,1000-1230,21-28
University of Maine,ME,Orono,04469,public,#249,94,35346,3.4,9774,1060-1280,22-30
University of Maine at Farmington,ME,Farmington,04938,public,#11,94,23079,3.2,1558,990-1245,N/A
University of Maine--Augusta,ME,Augusta,04330,public,#41-44,,19778,,4374,N/A,N/A
University of Maine--Fort Kent,ME,Fort Kent,04743,public,#35,99,14325,,1194,N/A,N/A
University of Maine--Presque Isle,ME,Presque Isle,04769,public,#36,100,14325,,1573,N/A,N/A
University of Mary,ND,Bismarck,58504,private,#376,79,21062,,2579,N/A,N/A
University of Mary Hardin-Baylor,TX,Belton,76513,private,#394-435,96,33150,3.6,3072,970-1200,19-27
"University of Maryland, Baltimore",MD,Baltimore,21201,public,Unranked,,42654,,930,N/A,N/A
"University of Maryland, Baltimore County",MD,Baltimore,21250,public,#133,81,30308,3.9,10625,1210-1400,23-29
"University of Maryland, College Park",MD,College Park,20742,public,#46,44,40306,,30353,1360-1520,30-34
"University of Maryland, Eastern Shore",MD,Princess Anne,21853,public,#369,81,19728,2.9,1933,840-1040,17-22
University of Maryland Global Campus,MD,Adelphi,20783,public,#151-167,,12336,,45100,N/A,N/A
University of Mary Washington,VA,Fredericksburg,22401,public,#154,86,31154,3.6,3493,1170-1340,25-30
University of Massachusetts--Amherst,MA,Amherst,01003,public,#67,64,39293,,24391,1260-1480,29-33
University of Massachusetts--Boston,MA,Boston,02125,public,#216,81,37211,3.4,12221,1080-1300,24-29
University of Massachusetts--Dartmouth,MA,North Dartmouth,02747,public,#209,96,30992,3.3,5517,1020-1260,22-31
University of Massachusetts--Lowell,MA,Lowell,01854,public,#159,86,35396,3.7,12391,1170-1360,25-31
University of Memphis,TN,Memphis,38152,public,#269,95,18024,3.4,16708,930-1230,17-24
University of Miami,FL,Coral Gables,33124,private,#67,19,59926,3.8,12504,1310-1480,30-33
University of Michigan--Ann Arbor,MI,Ann Arbor,48109,public,#21,18,57273,3.9,32695,1350-1530,31-34
University of Michigan--Dearborn,MI,Dearborn,48128,public,#17,54,31360,3.7,6116,1010-1290,22-28
University of Michigan--Flint,MI,Flint,48502,public,#390,66,25830,3.5,4609,930-1220,20-28
University of Minnesota Crookston,MN,Crookston,56716,public,#32,59,12412,,2303,N/A,N/A
University of Minnesota Duluth,MN,Duluth,55812,public,#21,81,19762,3.5,8810,1120-1350,22-28
University of Minnesota Morris,MN,Morris,56267,public,#130,78,16438,3.3,1068,N/A,N/A
"University of Minnesota, Twin Cities",MN,Minneapolis,55455,public,#53,75,36402,,39248,1290-1500,27-32
University of Mississippi,MS,University,38677,public,#163,97,26980,3.6,17302,1030-1220,22-29
University of Missouri,MO,Columbia,65211,public,#124,79,34322,,23752,1140-1340,23-30
University of Missouri--Kansas City,MO,Kansas City,64110,public,#269,69,30734,3.5,10190,1245-1550,21-30
University of Missouri--St. Louis,MO,St. Louis,63121,public,#260,51,31516,3.4,12431,1040-1210,20-26
University of Mobile,AL,Mobile,36613,private,#76,84,26120,3.6,1845,1115,21-27
University of Montana,MT,Missoula,59812,public,#361,95,31622,3.3,7215,1080-1278,19-26
University of Montana Western,MT,Dillon,59725,public,#23,37,18961,3.3,1424,870-1210,16-23
University of Montevallo,AL,Montevallo,35115,public,#20,60,26730,3.6,2172,970-1200,19-26
University of Mount Olive,NC,Mount Olive,28365,private,#78,83,23591,,2085,990-1150,16-21
University of Mount Union,OH,Alliance,44601,private,#32,76,35400,3.5,1889,960-1180,19-26
University of Nebraska at Kearney,NE,Kearney,68849,public,#29,86,15920,3.6,4269,1000-1200,19-25
University of Nebraska -- Lincoln,NE,Lincoln,68588,public,#159,79,27748,3.6,19189,1110-1340,22-28
University of Nebraska Medical Center,NE,Omaha,68198,public,Unranked,,33890,,936,N/A,N/A
University of Nebraska Omaha,NE,Omaha,68182,public,#304,86,21718,3.5,12026,N/A,18-26
"University of Nevada, Las Vegas",NV,Las Vegas,89154,public,#269,85,26099,3.4,25365,1000-1220,18-24
"University of Nevada, Reno",NV,Reno,89557,public,#195,86,25950,3.4,16973,1060-1300,19-26
University of New England,ME,Biddeford,04005,private,#260,96,42550,3.4,3718,N/A,N/A
University of New Hampshire,NH,Durham,03824,public,#115,87,38882,3.6,11480,1120-1320,26-31
University of New Hampshire at Manchester,NH,Manchester,03102,public,#146,83,34664,,653,1110-1270,N/A
University of New Haven,CT,West Haven,06516,private,#87,91,45730,3.4,4817,1090-1270,N/A
University of New Mexico,NM,Albuquerque,87131,public,#236,96,26452,3.4,15914,N/A,18-25
University of New Orleans,LA,New Orleans,70148,public,#394-435,70,14190,3.2,5804,940-1197,17-24
University of North Alabama,AL,Florence,35632,public,#33,75,23150,3.6,7492,925-1223,19-26
University of North Carolina Asheville,NC,Asheville,28804,public,#139,74,24809,3.5,2914,1140-1330,21-28
University of North Carolina at Chapel Hill,NC,Chapel Hill,27599,public,#22,17,39338,,20210,1350-1530,30-34
University of North Carolina at Greensboro,NC,Greensboro,27402,public,#216,92,22539,3.6,14198,1110-1280,22-27
University of North Carolina--Charlotte,NC,Charlotte,28223,public,#178,80,21338,3.6,23461,1070-1290,20-26
University of North Carolina--Pembroke,NC,Pembroke,28372,public,#45,90,7496,3.5,5643,935-1095,16-21
University of North Carolina School of the Arts,NC,Winston-Salem,27127,public,Unranked,30,26622,,938,N/A,N/A
University of North Carolina--Wilmington,NC,Wilmington,28403,public,#201,69,22985,3.9,14294,1220-1370,24-29
University of North Dakota,ND,Grand Forks,58202,public,#236,83,15570,3.6,9928,1090-1280,20-26
University of Northern Colorado,CO,Greeley,80639,public,#352,84,26204,3.5,6728,990-1200,20-27
University of Northern Iowa,IA,Cedar Falls,50614,public,#11,95,21272,3.6,7739,1020-1330,20-26
University of North Florida,FL,Jacksonville,32224,public,#236,71,20107,3.6,14171,1010-1220,18-25
University of North Georgia,GA,Dahlonega,30597,public,#41,69,21170,3.6,17256,1010-1200,19-25
University of North Texas,TX,Denton,76203,public,#260,79,24644,,33024,1000-1240,19-27
University of North Texas at Dallas,TX,Dallas,75241,public,#44,94,22117,3.3,3001,840-1044,14-20
University of Northwestern Ohio,OH,Lima,45805,private,#64,,12470,,2687,N/A,N/A
University of Northwestern--St. Paul,MN,St. Paul,55113,private,#45,93,36830,3.6,3161,1016-1311,21-28
University of Notre Dame,IN,Notre Dame,46556,private,#20,13,62693,,8971,1420-1550,32-35
University of Oklahoma,OK,Norman,73019,public,#124,73,25880,3.7,21294,1130-1330,23-29
University of Oklahoma Health Sciences Center,OK,Oklahoma City,73190,public,Unranked,,24731,,853,N/A,N/A
The University of Olivet,MI,Olivet,49076,private,#38,89,33076,,851,910-1120,18-23
University of Oregon,OR,Eugene,97403,public,#98,86,41194,3.8,19565,1140-1370,24-30
University of Pennsylvania,PA,Philadelphia,19104,private,#6,7,66104,3.9,9760,1500-1570,34-35
University of Pikeville,KY,Pikeville,41501,private,#395-435,76,24150,3.5,1483,940-1200,17-23
University of Pittsburgh,PA,Pittsburgh,15260,public,#67,49,39890,3.9,19928,1280-1470,29-33
University of Pittsburgh at Bradford,PA,Bradford,16701,public,#20,96,26494,3.3,1074,980-1200,18-29
University of Pittsburgh at Greensburg,PA,Greensburg,15601,public,#186-204,91,26504,,1306,1030-1210,18-25
University of Pittsburgh at Johnstown,PA,Johnstown,15904,public,#12,97,26520,3.6,2039,N/A,19-28
University of Portland,OR,Portland,97203,private,#2,93,54900,3.4,3374,1220-1410,27-31
University of Providence,MT,Great Falls,59401,private,#98,100,27456,,665,1140-1280,17-23
University of Puerto Rico--Aguadilla,PR,Aguadilla,00604,public,#52,77,5954,,1985,863-1088,N/A
University of Puerto Rico--Arecibo,PR,Arecibo,00614,public,#34,60,5324,3.8,2897,N/A,N/A
University of Puerto Rico--Bayamon,PR,Bayamon,00959,public,#81,31,6884,,3022,N/A,N/A
University of Puerto Rico--Cayey,PR,Cayey,00736,public,#167,48,5354,,2559,905-1131,N/A
University of Puerto Rico--Humacao,PR,Humacao,00792,public,#33,50,5364,,2848,N/A,N/A
University of Puerto Rico--Mayaguez,PR,Mayaguez,00681,public,#47,49,5274,,11246,N/A,N/A
University of Puerto Rico--Ponce,PR,Ponce,00732,public,#52,49,5354,,2262,N/A,N/A
University of Puerto Rico--Rio Piedras,PR,Rio Piedras,00931,public,#320,50,2168,,10207,N/A,N/A
University of Puerto Rico--Utuado,PR,Utuado,00641,public,#91-99,63,5354,,457,N/A,N/A
University of Puget Sound,WA,Tacoma,98416,private,#89,83,59900,3.5,1712,1170-1390,26-32
University of Redlands,CA,Redlands,92373,private,#7,82,55678,3.8,2312,1113-1278,25-30
University of Rhode Island,RI,Kingston,02881,public,#151,76,35804,3.6,13927,1050-1270,25-30
University of Richmond,VA,Univ. of Richmond,23173,private,#25,24,62600,3.8,3145,1400-1530,32-34
University of Rio Grande,OH,Rio Grande,45674,private,#62,,20060,,1850,N/A,N/A
University of Rochester,NY,Rochester,14627,private,#47,39,64384,3.8,6767,1390-1540,31-34
University of Saint Francis,IN,Fort Wayne,46808,private,#76,98,35420,3.3,1576,930-1130,18-24
University of Saint Joseph,CT,West Hartford,06117,private,#80,75,45908,3.5,831,1070-1275,N/A
University of Saint Katherine,CA,San Marcos,92069,private,#45-48,66,28800,3.5,204,N/A,N/A
University of Saint Mary,KS,Leavenworth,66048,private,#95,82,33890,3.3,903,935-1066,16-23
University of San Diego,CA,San Diego,92110,private,#98,53,56444,3.9,5669,N/A,N/A
University of San Francisco,CA,San Francisco,94117,private,#115,71,58222,3.7,6018,1210-1410,27-31
University of Science and Arts of Oklahoma,OK,Chickasha,73018,public,#186-204,56,19470,,825,N/A,N/A
University of Scranton,PA,Scranton,18510,private,#5,84,52034,3.5,3593,1150-1320,25-31
University of Silicon Valley,CA,San Jose,95134,proprietary,#14,65,27850,2.8,379,850-1010,N/A
University of Sioux Falls,SD,Sioux Falls,57105,private,#76,76,20740,3.5,1325,1010-1130,19-25
University of South Alabama,AL,Mobile,36688,public,#382,65,22640,,8491,1003-1200,20-26
University of South Carolina,SC,Columbia,29208,public,#124,64,33928,3.6,27343,1180-1380,27-32
University of South Carolina Aiken,SC,Aiken,29801,public,#59,76,21218,,3145,950-1180,18-24
University of South Carolina Beaufort,SC,Bluffton,29909,public,#44,80,21776,3.1,2053,930-1160,18-25
University of South Carolina Upstate,SC,Spartanburg,29303,public,#22,79,23260,2.4,4458,950-1150,20-25
University of South Dakota,SD,Vermillion,57069,public,#269,99,12942,3.5,7132,1020-1300,19-25
University of Southern California,CA,Los Angeles,90089,private,#28,12,68237,3.8,20699,1450-1550,32-35
University of Southern Indiana,IN,Evansville,47712,public,#76,94,21788,3.5,5539,1030-1240,21-26
University of Southern Maine,ME,Portland,04104,public,#144,87,26470,,5956,995-1230,19-24
University of Southern Mississippi,MS,Hattiesburg,39406,public,#352,99,11618,3.4,10258,N/A,19-27
University of South Florida,FL,Tampa,33620,public,#89,44,17324,,38046,1140-1330,24-29
University of St. Francis,IL,Joliet,60435,private,#280,58,37000,3.5,1417,980-1180,22-30
University of St. Thomas (MN),MN,St. Paul,55105,private,#163,78,52284,3.7,5942,1120-1350,21-28
University of St. Thomas (TX),TX,Houston,77006,private,#216,97,33660,3.6,2729,1010-1300,24-29
University of Tampa,FL,Tampa,33606,private,#16,26,33424,3.5,9602,1080-1280,22-28
University of Tennessee at Chattanooga,TN,Chattanooga,37403,public,#345,83,25966,3.6,9884,1023-1210,20-26
University of Tennessee at Martin,TN,Martin,38238,public,#27,88,15952,3.6,6170,1020-1240,19-25
University of Tennessee Health Sciences Center,TN,Memphis,38163,public,Unranked,,20425,,264,N/A,N/A
"University of Tennessee, Knoxville",TN,Knoxville,37996,public,#105,68,31434,3.7,27039,1170-1330,25-31
University of Tennessee Southern,TN,Pulaski,38478,public,#47,80,10200,3.5,896,1025-1160,19-23
The University of Texas at Arlington,TX,Arlington,76019,public,#236,81,29660,,30791,1000-1240,18-26
University of Texas at Austin,TX,Austin,78705,public,#32,31,41070,,41309,N/A,29-34
The University of Texas at Dallas,TX,Richardson,75080,public,#115,85,44812,,21617,1170-1430,24-32
The University of Texas at El Paso,TX,El Paso,79968,public,#304,100,24952,3.3,20165,870-1090,16-22
University of Texas at San Antonio,TX,San Antonio,78249,public,#280,87,26798,,29654,1010-1220,19-26
The University of Texas at Tyler,TX,Tyler,75799,public,#361,94,25198,3.4,6971,1000-1220,19-24
University of Texas Health Science Center--Houston,TX,Houston,77225,public,Unranked,,37872,,685,N/A,N/A
University of Texas Health Science Center--San Antonio,TX,San Antonio,78284,public,Unranked,,22277,,787,N/A,N/A
University of Texas Medical Branch--Galveston,TX,Galveston,77555,public,Unranked,,24213,,672,N/A,N/A
University of Texas Permian Basin,TX,Odessa,79762,public,#52,95,23212,3.4,4640,910-1090,16-21
University of Texas Rio Grande Valley,TX,Edinburg,78539,public,#227,87,19333,,26434,910-1120,16-22
University of the Arts,PA,Philadelphia,19102,private,Unranked,80,51130,,1170,N/A,N/A
University of the Cumberlands,KY,Williamsburg,40769,private,#395-435,83,9875,3.4,5174,980-1160,16-23
University of the District of Columbia,DC,Washington,20008,public,#148,61,18260,,3061,N/A,N/A
University of the Incarnate Word,TX,San Antonio,78209,private,#296,93,35660,3.5,4724,910-1140,15-23
University of the Ozarks,AR,Clarksville,72830,private,#7,60,25950,3.4,784,960-1150,19-24
University of the Pacific,CA,Stockton,95211,private,#142,93,55340,3.6,3294,1120-1423,25-33
University of the Potomac,DC,Washington,20005,proprietary,Unranked,,6660,,171,N/A,N/A
The University of the South,TN,Sewanee,37383,private,#51,52,53704,,1613,1233-1380,27-32
University of the Southwest,NM,Hobbs,88240,private,#105-115,,17200,,414,N/A,N/A
University of the Virgin Islands,VI,St. Thomas,00802,public,#73,97,15520,3.1,1378,800-990,21-23
University of the West,CA,Rosemead,91770,private,Unranked,,14018,,77,N/A,N/A
University of Toledo,OH,Toledo,43606,public,#280,92,21280,3.5,11965,1060-1280,21-28
University of Tulsa,OK,Tulsa,74104,private,#195,69,48102,3.6,2647,1070-1350,21-30
University of Utah,UT,Salt Lake City,84112,public,#115,89,33045,3.7,26355,1190-1390,22-29
University of Valley Forge,PA,Phoenixville,19460,private,#36,82,23750,3.4,508,930-1135,17-21
University of Vermont,VT,Burlington,05405,public,#133,60,43890,3.8,11898,1260-1430,28-32
University of Virginia,VA,Charlottesville,22904,public,#24,19,58950,,17496,1400-1540,32-34
University of Virginia--Wise,VA,Wise,24293,public,#165,76,31546,3.5,1737,915-1160,19-25
University of Washington,WA,Seattle,98195,public,#40,48,41997,3.8,36872,1300-1520,29-34
University of Washington Bothell,WA,Bothell,,public,Unranked,83,40722,,5454,N/A,N/A
University of Washington Tacoma,WA,Tacoma,,public,#13,88,42171,3.4,4090,980-1240,19-24
University of West Alabama,AL,Livingston,35470,public,#79,69,20090,,2427,N/A,17-21
University of West Florida,FL,Pensacola,32514,public,#27,48,18628,3.7,9305,1020-1190,21-26
University of West Georgia,GA,Carrollton,30118,public,#382,80,20852,3.4,8687,930-1140,17-22
University of Wisconsin--Eau Claire,WI,Eau Claire,54701,public,#21,85,17487,3.6,8923,1100-1310,21-27
University of Wisconsin--Green Bay,WI,Green Bay,54311,public,#66,91,16091,,9257,N/A,18-25
University of Wisconsin--La Crosse,WI,La Crosse,54601,public,#249,82,18814,3.6,9352,1115-1290,21-26
University of Wisconsin--Madison,WI,Madison,53706,public,#35,49,40603,3.8,37230,1350-1510,28-33
University of Wisconsin--Milwaukee,WI,Milwaukee,53201,public,#332,95,21514,3.2,18751,N/A,18-25
University of Wisconsin--Oshkosh,WI,Oshkosh,54901,public,#332,89,15368,3.2,11773,N/A,18-23
University of Wisconsin--Parkside,WI,Kenosha,53141,public,#103,90,16489,3.2,3255,N/A,17-24
University of Wisconsin--Platteville,WI,Platteville,53818,public,#60,88,16800,,6266,N/A,20-26
University of Wisconsin--River Falls,WI,River Falls,54022,public,#60,85,16128,3.4,4772,N/A,18-25
University of Wisconsin--Stevens Point,WI,Stevens Point,54481,public,#47,89,17854,3.5,7313,1040-1220,19-25
University of Wisconsin--Stout,WI,Menomonie,54751,public,#67,85,18706,3.4,6246,1096-1263,19-26
University of Wisconsin--Superior,WI,Superior,54880,public,#124,83,16400,3.3,2206,1110-1270,17-23
University of Wisconsin--Whitewater,WI,Whitewater,53190,public,#43,93,17810,3.3,9375,950-1180,18-24
University of Wyoming,WY,Laramie,82071,public,#216,96,22718,3.5,8518,1030-1240,20-27
Upper Iowa University,IA,Fayette,52142,private,#149-164,65,33639,,2510,855-1065,17-24
Ursinus College,PA,Collegeville,19426,private,#86,82,59176,3.6,1527,1180-1380,28-32
Ursuline College,OH,Pepper Pike,44124,private,#88,85,37860,3.6,625,1056-1155,19-26
Utah State University,UT,Logan,84322,public,#269,94,24802,3.6,24835,1050-1320,20-27
Utah Tech University,UT,Saint George,84770,public,#32,97,17644,3.4,12481,871-1198,18-24
Utah Valley University,UT,Orem,84058,public,#104,,17830,,40542,N/A,N/A
Utica University,NY,Utica,13502,private,#64,81,25468,3.3,2678,1084-1250,23-32
Valdosta State University,GA,Valdosta,31698,public,#395-435,91,17062,3.3,7589,950-1130,17-22
Valencia College,FL,Orlando,32835,public,Unranked,,9383,,43599,N/A,N/A
Valley City State University,ND,Valley City,58072,public,#29,85,13478,3.4,1521,N/A,17-23
Valparaiso University,IN,Valparaiso,46383,private,#201,94,46588,3.7,2349,1140-1360,27-30
Vanderbilt University,TN,Nashville,37240,private,#18,7,63946,3.9,7151,1490-1570,34-35
VanderCook College of Music,IL,Chicago,60616,private,Unranked,100,29800,,88,N/A,N/A
Vanguard University of Southern California,CA,Costa Mesa,92626,private,#44,75,39950,3.4,1958,1140,21-28
Vassar College,NY,Poughkeepsie,12604,private,#16,19,67805,,2459,1430-1535,32-34
Vaughn College of Aeronautics and Technology,NY,Flushing,11369,private,#16,75,26550,2.7,1175,832-1110,25-26
Vermont State University,VT,Johnson,05656,public,#151-167,75,26892,,1495,N/A,N/A
Villa Maria College,NY,Buffalo,14225,private,#41-44,76,26960,,452,800-1110,N/A
Villanova University,PA,Villanova,19085,private,#67,23,64906,3.9,6989,1380-1500,32-34
Vincennes University,IN,Vincennes,47591,public,#68-74,,15253,,16389,N/A,N/A
Virginia Commonwealth University,VA,Richmond,23284,public,#142,91,38247,3.7,20958,1030-1290,22-30
Virginia Military Institute,VA,Lexington,24450,public,#63,71,49722,3.7,1512,1105-1300,22-29
Virginia State University,VA,Petersburg,23806,public,#41,96,21253,,4242,830-1040,15-21
Virginia Tech,VA,Blacksburg,24061,public,#47,57,36090,,30434,1220-1420,26-32
Virginia Union University,VA,Richmond,23220,private,#186-204,81,14230,2.6,1318,813-990,14-24
Virginia Wesleyan University,VA,Virginia Beach,23455,private,#174,81,36960,3.3,1479,1150-1380,27-31
Viterbo University,WI,La Crosse,54601,private,#74,72,32350,3.5,1385,1060-1240,22-27
Voorhees University,SC,Denmark,29042,private,#52,,12630,3,473,N/A,N/A
Wabash College,IN,Crawfordsville,47933,private,#59,61,49125,3.6,835,1122-1320,22-30
Wade College,TX,Dallas,75207,proprietary,Unranked,,17132,,216,N/A,N/A
Wagner College,NY,Staten Island,10301,private,#69,69,52000,3.6,1591,1090-1290,24-29
Wake Forest University,NC,Winston-Salem,27109,private,#47,21,64758,,5447,1380-1510,31-34
Waldorf University,IA,Forest City,50436,proprietary,#149-164,72,24526,,2088,N/A,N/A
Walla Walla University,WA,College Place,99324,private,#54,65,33027,3.5,1314,1030-1240,19-26
Walsh College,MI,Troy,48083,private,Unranked,,20757,,578,N/A,N/A
Walsh University,OH,North Canton,44720,private,#352,72,34595,,1558,1030-1320,20-26
Warner Pacific University,OR,Portland,97215,private,#11,76,21010,,406,N/A,N/A
Warner University,FL,Lake Wales,33859,private,#104,53,28044,,782,830-1070,15-23
Warren Wilson College,NC,Asheville,28815,private,#186-204,84,40290,,723,N/A,24-30
Wartburg College,IA,Waverly,50677,private,#156,97,51040,3.6,1416,970-1120,19-25
Washburn University,KS,Topeka,66621,public,#103,98,20530,3.4,4733,N/A,17-23
Washington Adventist University,MD,Takoma Park,20912,private,#151-167,51,25200,,582,N/A,N/A
Washington and Lee University,VA,Lexington,24450,private,#21,17,64525,,1867,1410-1533,32-34
Washington College,MD,Chestertown,21620,private,#93,75,54266,3.7,955,1190-1390,25-29
Washington & Jefferson College,PA,Washington,15301,private,#89,88,28185,3.5,1149,1010-1250,19-28
Washington State University,WA,Pullman,99164,public,#178,83,29073,3.5,22612,N/A,N/A
Washington University in St. Louis,MO,St. Louis,63130,private,#24,11,62982,,8132,1500-1570,33-35
Wayland Baptist University,TX,Plainview,79072,private,#105-115,70,23286,3.4,2275,870-1145,16-22
Waynesburg University,PA,Waynesburg,15370,private,#111,76,29460,3.6,1116,960-1200,19-25
Wayne State College,NE,Wayne,68787,public,#92,100,7923,3.3,3860,N/A,18-25
Wayne State University,MI,Detroit,48202,public,#201,75,31614,3.4,16116,980-1230,20-28
Webber International University,FL,Babson Park,33827,private,#80,46,30368,,776,N/A,N/A
Webb Institute,NY,Glen Cove,11542,private,Unranked,21,61060,3.9,102,N/A,N/A
Weber State University,UT,Ogden,84408,public,#59,100,17084,3.3,28903,N/A,18-24
Webster University,MO,St. Louis,63119,private,#32,56,30730,3.6,1909,1014-1325,20-27
Welch College,TN,Gallatin,37066,private,#17,83,20776,3.6,342,930-1230,19-28
Wellesley College,MA,Wellesley,02481,private,#4,14,64320,,2447,1430-1550,33-35
Wells College,NY,Aurora,13026,private,#152,68,35166,,342,N/A,N/A
Wenatchee Valley College,WA,Wenatchee,98801,public,Unranked,,5458,,2661,N/A,N/A
Wentworth Institute of Technology,MA,Boston,02115,private,#33,92,41010,3.4,3713,1120-1340,25-31
Wesleyan College,GA,Macon,31210,private,#6,62,27650,,695,1033-1210,22-25
Wesleyan University,CT,Middletown,06459,private,#11,14,67016,,3069,1440-1550,33-35
West Chester University of Pennsylvania,PA,West Chester,19383,public,#209,88,22261,3.5,14392,1080-1260,23-30
Westcliff University,CA,Irvine,,proprietary,Unranked,65,17550,,1300,N/A,N/A
West Coast University,CA,Anaheim,90020,proprietary,Unranked,,22889,,2971,N/A,N/A
Western Carolina University,NC,Cullowhee,28723,public,#227,85,8532,3.4,9956,1020-1240,19-26
Western Colorado University,CO,Gunnison,81231,public,#74,92,23683,3.4,3098,1010-1270,21-28
Western Connecticut State University,CT,Danbury,06810,public,#101,85,25239,,4172,N/A,N/A
Western Illinois University,IL,Macomb,61455,public,#38,75,12848,3.4,5309,860-1110,17-26
Western Kentucky University,KY,Bowling Green,42101,public,#361,97,27000,3.5,14440,980-1170,18-25
Western Michigan University,MI,Kalamazoo,49008,public,#304,85,18218,3.5,14397,990-1220,19-27
Western Nevada College,NV,Carson City,89703,public,Unranked,,12144,,3528,N/A,N/A
Western New England University,MA,Springfield,01119,private,#236,88,46430,3.5,2406,1090-1280,24-29
Western New Mexico University,NM,Silver City,88062,public,#105-115,100,17193,,2377,N/A,N/A
Western Oregon University,OR,Monmouth,97361,public,#60,84,30582,3.4,3320,985-1220,N/A
Western Washington University,WA,Bellingham,98225,public,#24,93,27855,3.5,13801,1130-1340,25-30
Westfield State University,MA,Westfield,01086,public,#94,94,17962,,4239,980-1190,17-22
West Liberty University,WV,West Liberty,26074,public,#62,74,8150,,2087,890-1175,18-24
West Los Angeles College,CA,Culver City,90230,public,Unranked,,9870,,9481,N/A,N/A
Westminster College (MO),MO,Fulton,65251,private,#164,97,33144,,654,880-1160,18-24
Westminster College (PA),PA,New Wilmington,16172,private,#112,92,39770,3.5,1222,1060-1280,21-26
Westminster University (UT),UT,Salt Lake City,84105,private,#21,70,41936,3.6,968,1166-1373,23-29
Westmont College,CA,Santa Barbara,93108,private,#107,82,51790,3.6,1293,1210-1420,30-33
West Texas A&M University,TX,Canyon,79016,public,#56,92,10834,3.5,6898,900-1100,18-23
West Virginia State University,WV,Institute,25112,public,#103,96,14588,3.3,3634,N/A,N/A
West Virginia University,WV,Morgantown,26506,public,#216,77,26568,3.7,19059,1000-1220,20-26
West Virginia University Institute of Technology,WV,Beckley,25801,public,Unranked,66,19584,,1619,N/A,N/A
West Virginia University--Parkersburg,WV,Parkersburg,26101,public,Unranked,,9124,,2346,N/A,N/A
West Virginia Wesleyan College,WV,Buckhannon,26201,private,#24,96,33494,3.5,889,910-1140,18-23
Whatcom Community College,WA,Bellingham,98226,public,Unranked,,10731,,3850,N/A,N/A
Wheaton College (IL),IL,Wheaton,60187,private,#56,89,43930,3.7,2187,1250-1430,28-33
Wheaton College (MA),MA,Norton,02766,private,#75,80,62080,3.7,1667,1200-1400,27-32
Wheeling University,WV,Wheeling,26003,private,#49,73,28290,3.3,594,910-1130,17-22
Whitman College,WA,Walla Walla,99362,private,#46,48,61492,3.6,1493,1293-1473,30-33
Whittier College,CA,Whittier,90608,private,#93,94,49864,3.4,1131,1140-1340,24-30
Whitworth University,WA,Spokane,99251,private,#7,91,50920,3.7,2045,1110-1350,19-27
Wichita State University,KS,Wichita,67260,public,#332,68,18226,3.5,12696,953-1260,19-26
Widener University,PA,Chester,19013,private,#227,88,53638,3.4,2555,1105-1290,N/A
Wilberforce University,OH,Wilberforce,45384,private,#62,39,13250,,544,780-1147,15-20
Wiley College,TX,Marshall,75670,private,#34,40,12500,2.5,698,N/A,13-17
Wilkes University,PA,Wilkes-Barre,18766,private,#269,94,42286,3.5,2000,1060-1260,21-26
Willamette University,OR,Salem,97301,private,#75,81,48226,3.7,1367,1230-1420,27-33
William Carey University,MS,Hattiesburg,39401,private,#356,57,14685,,3337,980-1320,21-29
William Jewell College,MO,Liberty,64068,private,#8,41,19890,3.6,829,1030-1130,20-26
William & Mary,VA,Williamsburg,23187,public,#53,33,48841,3.9,6797,1375-1520,32-34
William Paterson University of New Jersey,NJ,Wayne,07470,public,#69,92,24464,,6604,N/A,N/A
William Peace University,NC,Raleigh,27604,private,#24,63,33050,3.2,713,1033-1151,19-27
William Penn University,IA,Oskaloosa,52577,private,#57,58,27800,,1304,830-1030,16-21
Williams Baptist University,AR,Walnut Ridge,72476,private,#40,59,20330,3.5,562,1150-1150,18-24
Williams College,MA,Williamstown,01267,private,#1,8,64860,,2152,1480-1570,34-35
William Woods University,MO,Fulton,65251,private,#395-435,68,27480,,781,N/A,N/A
Wilmington College,OH,Wilmington,45177,private,#29,87,31087,,1032,960-1150,17-23
Wilmington University,DE,New Castle,19720,private,#395-435,,12030,,8332,N/A,N/A
Wilson College,PA,Chambersburg,17201,private,#150,94,27006,3.5,966,970-1120,N/A
