institution.displayName,institution.schoolType,institution.state,institution.city,institution.zip,ranking.displayRank,ranking.sortRank,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.satAvg.rawValue,searchData.testAvgs.displayValue.1.value
John Carroll University,regional-universities-midwest,OH,University Heights,44118,#3,3,49100,3.8,2417,1160,25-30
John Paul the Great Catholic University,regional-colleges-west,CA,Escondido,92025,#15,15,29500,,300,1068,19-24
Johns Hopkins University,national-universities,MD,Baltimore,21218,#9,9,63340,3.9,6044,1520,34-35
Johnson C. Smith University,national-liberal-arts-colleges,NC,Charlotte,28216,#172,172,21714,,1052,,N/A
Johnson University (TN),regional-universities-south,TN,Knoxville,37998,#31,31,19274,,658,980,19-24
Johnson & Wales University--Charlotte,regional-colleges-south,NC,Charlotte,,#24,24,39992,,1140,890,16-22
Johnson & Wales University--Providence,regional-universities-north,RI,Providence,02903,#69,69,39992,,4158,940,22-29
Judson University,regional-universities-midwest,IL,Elgin,60123,#108,108,30910,3.2,798,910,16-27
Juilliard School,specialty-arts,NY,New York,10023,Unranked,-2,53550,,608,,N/A
Juniata College,national-liberal-arts-colleges,PA,Huntingdon,16652,#82,82,56402,3.6,1177,1120,26-30
Kalamazoo College,national-liberal-arts-colleges,MI,Kalamazoo,49006,#70,70,56562,3.8,1210,1200,26-32
Kansas City Art Institute,specialty-arts,MO,Kansas City,64111,Unranked,-2,41924,,726,,N/A
Kansas State University,national-universities,KS,Manhattan,66506,#170,170,27816,3.8,15046,,20-27
Kansas Wesleyan University,regional-colleges-midwest,KS,Salina,67401,#41,41,33470,3.4,791,878,17-22
Kean University,national-universities,NJ,Union,07083,#320,320,21076,3.2,10845,900,16-25
Keene State College,regional-colleges-north,NH,Keene,03435,#12,12,26186,3.2,2755,930,N/A
Keiser University,national-universities,FL,Ft. Lauderdale,33309,#249,249,36020,,16960,,N/A
Kennesaw State University,national-universities,GA,Kennesaw,30144,#394-435,-1,20966,3.5,39005,1030,19-25
